name,playcount,listeners,mbid,url,streamable,tags
Mc Pipokinha,1227248,115349,,https://www.last.fm/music/Mc+Pipokinha,0,"brazil, funk, brazilian"
Streaming Music Studios,1924972,115304,,https://www.last.fm/music/Streaming+Music+Studios,0,"USA, piano, film"
Berlinist,1759425,115260,fdfb2dad-fb50-45f1-981c-1f9e45a921c2,https://www.last.fm/music/Berlinist,0,"ambient, Soundtrack, spanish"
Elevation Worship,5669352,115182,f3bb45c8-dcb3-4358-ab21-645e6d0935e4,https://www.last.fm/music/Elevation+Worship,0,"christian, worship, christian rock"
Jorge Vercillo,1810270,115173,,https://www.last.fm/music/Jorge+Vercillo,0,"mpb, vercillo, Jorge Vercillo"
Lou Val,859570,115161,,https://www.last.fm/music/Lou+Val,0,"rnb, experimental, canada"
Fit For An Autopsy,5370982,115120,4d884695-d088-40d7-92e7-1f48470bb9fa,https://www.last.fm/music/Fit+For+An+Autopsy,0,"deathcore, death metal, brutal deathcore"
DYVN,364636,115090,,https://www.last.fm/music/DYVN,0,
Easha,1078851,115054,,https://www.last.fm/music/Easha,0,"indie, pop, new jersey"
Namasenda,3340687,115042,,https://www.last.fm/music/Namasenda,0,"hyperpop, pop, bubblegum bass"
Drug Church,3640231,114957,32d2897c-4c91-46db-8161-f51d3f4f0d93,https://www.last.fm/music/Drug+Church,0,"hardcore, post-hardcore, hardcore punk"
Matt Duncan,843571,114874,b9011c25-790c-4258-a6d2-4a6e9edc1a99,https://www.last.fm/music/Matt+Duncan,0,"indie, seen live, indie rock"
Jul,7930048,114870,8e6c44df-06fc-4852-83d0-ef0efed6630a,https://www.last.fm/music/Jul,0,"Hip-Hop, fragile, Marseille"
Carol Biazin,7415439,114866,,https://www.last.fm/music/Carol+Biazin,0,"pop, mpb, rnb"
B1A4,7835998,114857,f42c30e7-3298-4df9-890c-ee8db3c859e2,https://www.last.fm/music/B1A4,0,"k-pop, Korean, Kpop"
Old Gray,3135805,114848,ddae9a60-a349-4f05-a75c-51240ae31ab6,https://www.last.fm/music/Old+Gray,0,"screamo, emo, indie"
MAKAVELIGODD,1938931,114744,,https://www.last.fm/music/MAKAVELIGODD,0,"phonk, hip hop, rap"
pinkshift,1716928,114696,,https://www.last.fm/music/pinkshift,0,"pop punk, punk, punk rock"
